Name,Move,Move_points
Blastoise,sleep-talk,
Blastoise,return,
Blastoise,frustration,
Blastoise,dynamic-punch,100
Blastoise,rapid-spin,20
Blastoise,iron-tail,100
Blastoise,hidden-power,60
Blastoise,rain-dance,
Blastoise,rock-smash,40
Blastoise,whirlpool,35
Blastoise,hail,
Blastoise,facade,70
Blastoise,focus-punch,150
Blastoise,brick-break,75
Blastoise,secret-power,70
Blastoise,dive,80
Blastoise,hydro-cannon,150
Blastoise,rock-tomb,60
Blastoise,signal-beam,75
Blastoise,iron-defense,
Blastoise,water-pulse,60
Blastoise,gyro-ball,
Blastoise,brine,65
Blastoise,natural-gift,
Blastoise,fling,
Blastoise,dark-pulse,80
Blastoise,aqua-tail,90
Blastoise,dragon-pulse,85
Blastoise,focus-blast,120
Blastoise,giga-impact,150
Blastoise,avalanche,60
Blastoise,zen-headbutt,80
Blastoise,flash-cannon,80
Blastoise,rock-climb,90
Blastoise,captivate,
Blastoise,smack-down,50
Blastoise,round,60
Blastoise,scald,80
Blastoise,water-pledge,80
Blastoise,bulldoze,60
Blastoise,dragon-tail,60
Blastoise,work-up,
Blastoise,confide,
Blastoise,power-up-punch,40
Caterpie,tackle,40
Caterpie,string-shot,
Caterpie,snore,50
Caterpie,bug-bite,60
Caterpie,electroweb,55
Metapod,string-shot,
Metapod,harden,
Metapod,iron-defense,
Metapod,bug-bite,60
Metapod,electroweb,55
Butterfree,razor-wind,80
Butterfree,gust,40
Butterfree,whirlwind,
Butterfree,take-down,90
Butterfree,double-edge,120
Butterfree,supersonic,
Butterfree,psybeam,65
Butterfree,hyper-beam,150
Butterfree,mega-drain,40
Butterfree,solar-beam,120
Butterfree,poison-powder,
Butterfree,stun-spore,
Butterfree,sleep-powder,
Butterfree,string-shot,
Butterfree,toxic,
Butterfree,confusion,50
Butterfree,psychic,90
Butterfree,rage,20
Butterfree,teleport,
Butterfree,mimic,
Butterfree,double-team,
Butterfree,reflect,
Butterfree,bide,
Butterfree,swift,60
Butterfree,dream-eater,100
Butterfree,flash,
Butterfree,psywave,
Butterfree,rest,
Butterfree,substitute,
Butterfree,thief,60
Butterfree,nightmare,
Butterfree,snore,50
Butterfree,curse,
Butterfree,protect,
Butterfree,giga-drain,75
Butterfree,endure,
Butterfree,swagger,
Butterfree,attract,
Butterfree,sleep-talk,
Butterfree,return,
Butterfree,frustration,
Butterfree,safeguard,
Butterfree,sweet-scent,
Butterfree,hidden-power,60
Butterfree,twister,40
Butterfree,rain-dance,
Butterfree,sunny-day,
Butterfree,psych-up,
Butterfree,shadow-ball,80
Butterfree,facade,70
Butterfree,skill-swap,
Butterfree,secret-power,70
Butterfree,air-cutter,60
Butterfree,silver-wind,60
Butterfree,signal-beam,75
Butterfree,aerial-ace,60
Butterfree,roost,
Butterfree,natural-gift,
Butterfree,tailwind,
Butterfree,u-turn,70
Butterfree,air-slash,75
Butterfree,bug-buzz,90
Butterfree,energy-ball,90
Butterfree,giga-impact,150
Butterfree,defog,
Butterfree,captivate,
Butterfree,bug-bite,60
Butterfree,ominous-wind,60
Butterfree,venoshock,65
Butterfree,rage-powder,
Butterfree,quiver-dance,
Butterfree,round,60
Butterfree,acrobatics,55
Butterfree,struggle-bug,50
Butterfree,electroweb,55
Butterfree,confide,
Butterfree,infestation,20
Weedle,poison-sting,15
Weedle,string-shot,
Weedle,bug-bite,60
Weedle,electroweb,55
Kakuna,string-shot,
Kakuna,harden,
Kakuna,iron-defense,
Kakuna,bug-bite,60
Kakuna,electroweb,55
Beedrill,swords-dance,
Beedrill,cut,50
Beedrill,fury-attack,15
Beedrill,take-down,90
Beedrill,double-edge,120
Beedrill,twineedle,25
Beedrill,pin-missile,25
Beedrill,hyper-beam,150
Beedrill,mega-drain,40
Beedrill,solar-beam,120
Beedrill,string-shot,
Beedrill,toxic,
Beedrill,agility,
Beedrill,rage,20
Beedrill,mimic,
Beedrill,double-team,
Beedrill,reflect,
Beedrill,focus-energy,
Beedrill,bide,
Beedrill,swift,60
Beedrill,skull-bash,130
Beedrill,flash,
Beedrill,rest,
Beedrill,substitute,
Beedrill,thief,60
Beedrill,snore,50
Beedrill,curse,
Beedrill,protect,
Beedrill,sludge-bomb,90
Beedrill,giga-drain,75
Beedrill,endure,
Beedrill,false-swipe,40
Beedrill,swagger,
Beedrill,fury-cutter,40
Beedrill,attract,
Beedrill,sleep-talk,
Beedrill,return,
Beedrill,frustration,
Beedrill,pursuit,40
Beedrill,sweet-scent,
Beedrill,hidden-power,60
Beedrill,sunny-day,
Beedrill,rock-smash,40
Beedrill,facade,70
Beedrill,brick-break,75
Beedrill,knock-off,65
Beedrill,endeavor,
Beedrill,secret-power,70
Beedrill,air-cutter,60
Beedrill,silver-wind,60
Beedrill,aerial-ace,60
Beedrill,roost,
Beedrill,natural-gift,
Beedrill,tailwind,
Beedrill,u-turn,70
Beedrill,payback,50
Beedrill,assurance,60
Beedrill,toxic-spikes,
Beedrill,poison-jab,80
Beedrill,x-scissor,80
Beedrill,giga-impact,150
Beedrill,defog,
Beedrill,captivate,
Beedrill,bug-bite,60
Beedrill,ominous-wind,60
Beedrill,venoshock,65
Beedrill,round,60
Beedrill,acrobatics,55
Beedrill,struggle-bug,50
Beedrill,electroweb,55
Beedrill,drill-run,80
Beedrill,fell-stinger,50
Beedrill,confide,
Beedrill,infestation,20
Beedrill,brutal-swing,60
Pidgey,razor-wind,80
Pidgey,gust,40
Pidgey,wing-attack,60
Pidgey,whirlwind,
Pidgey,fly,90
Pidgey,sand-attack,
Pidgey,tackle,40
Pidgey,take-down,90
Pidgey,double-edge,120
Pidgey,toxic,
Pidgey,agility,
Pidgey,quick-attack,40
Pidgey,rage,20
Pidgey,mimic,
Pidgey,double-team,
Pidgey,reflect,
Pidgey,bide,
Pidgey,mirror-move,
Pidgey,swift,60
Pidgey,sky-attack,140
Pidgey,rest,
Pidgey,substitute,
Pidgey,thief,60
Pidgey,snore,50
Pidgey,curse,
Pidgey,protect,
Pidgey,feint-attack,60
Pidgey,mud-slap,20
Pidgey,foresight,
Pidgey,detect,
Pidgey,endure,
Pidgey,swagger,
Pidgey,steel-wing,70
Pidgey,attract,
Pidgey,sleep-talk,
Pidgey,return,
Pidgey,frustration,
Pidgey,pursuit,40
Pidgey,hidden-power,60
Pidgey,twister,40
Pidgey,rain-dance,
Pidgey,sunny-day,
Pidgey,uproar,90
Pidgey,heat-wave,95
Pidgey,facade,70
Pidgey,secret-power,70
Pidgey,feather-dance,
Pidgey,air-cutter,60
Pidgey,aerial-ace,60
Pidgey,roost,
Pidgey,natural-gift,
Pidgey,pluck,60
Pidgey,tailwind,
Pidgey,u-turn,70
Pidgey,air-slash,75
Pidgey,brave-bird,120
Pidgey,defog,
Pidgey,captivate,
Pidgey,ominous-wind,60
Pidgey,round,60
Pidgey,work-up,
Pidgey,hurricane,110
Pidgey,confide,
Pidgeotto,razor-wind,80
Pidgeotto,gust,40
Pidgeotto,wing-attack,60
Pidgeotto,whirlwind,
Pidgeotto,fly,90
Pidgeotto,sand-attack,
Pidgeotto,tackle,40
Pidgeotto,take-down,90
Pidgeotto,double-edge,120
Pidgeotto,toxic,
Pidgeotto,agility,
Pidgeotto,quick-attack,40
Pidgeotto,rage,20
Pidgeotto,mimic,
Pidgeotto,double-team,
Pidgeotto,reflect,
Pidgeotto,bide,
Pidgeotto,mirror-move,
Pidgeotto,swift,60
Pidgeotto,sky-attack,140
Pidgeotto,rest,
Pidgeotto,substitute,
Pidgeotto,thief,60
Pidgeotto,snore,50
Pidgeotto,curse,
Pidgeotto,protect,
Pidgeotto,mud-slap,20
Pidgeotto,detect,
Pidgeotto,endure,
Pidgeotto,swagger,
Pidgeotto,steel-wing,70
Pidgeotto,attract,
Pidgeotto,sleep-talk,
Pidgeotto,return,
Pidgeotto,frustration,
Pidgeotto,hidden-power,60
Pidgeotto,twister,40
Pidgeotto,rain-dance,
Pidgeotto,sunny-day,
Pidgeotto,uproar,90
Pidgeotto,heat-wave,95
Pidgeotto,facade,70
Pidgeotto,secret-power,70
Pidgeotto,feather-dance,
Pidgeotto,air-cutter,60
Pidgeotto,aerial-ace,60
Pidgeotto,roost,
Pidgeotto,natural-gift,
Pidgeotto,pluck,60
Pidgeotto,tailwind,
Pidgeotto,u-turn,70
Pidgeotto,air-slash,75
Pidgeotto,defog,
Pidgeotto,captivate,
Pidgeotto,ominous-wind,60
Pidgeotto,round,60
Pidgeotto,work-up,
Pidgeotto,hurricane,110
Pidgeotto,confide,
Pidgeot,razor-wind,80
Pidgeot,gust,40
Pidgeot,wing-attack,60
Pidgeot,whirlwind,
Pidgeot,fly,90
Pidgeot,sand-attack,
Pidgeot,tackle,40
Pidgeot,take-down,90
Pidgeot,double-edge,120
Pidgeot,hyper-beam,150
Pidgeot,toxic,
Pidgeot,agility,
Pidgeot,quick-attack,40
Pidgeot,rage,20
Pidgeot,mimic,
Pidgeot,double-team,
Pidgeot,reflect,
Pidgeot,bide,
Pidgeot,mirror-move,
Pidgeot,swift,60
Pidgeot,sky-attack,140
Pidgeot,rest,
Pidgeot,substitute,
Pidgeot,thief,60
Pidgeot,snore,50
Pidgeot,curse,
Pidgeot,protect,
Pidgeot,mud-slap,20
Pidgeot,detect,
Pidgeot,endure,
Pidgeot,swagger,
Pidgeot,steel-wing,70
Pidgeot,attract,
Pidgeot,sleep-talk,
Pidgeot,return,
Pidgeot,frustration,
Pidgeot,hidden-power,60
Pidgeot,twister,40
Pidgeot,rain-dance,
Pidgeot,sunny-day,
Pidgeot,uproar,90
Pidgeot,heat-wave,95
Pidgeot,facade,70
Pidgeot,secret-power,70
Pidgeot,feather-dance,
